"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"Studienteilnahme";"Trust_Car_1";"Trust_Car_2";"Trust_Car_3";"car_check";"Manip_Check_1";"Manip_Check_2";"Manip_Check_3";"car_comp1";"car_comp2";"car_comp3";"car_comp4";"car_comp5";"car_consc1";"car_consc2";"car_consc3";"car_consc4";"car_consc5";"car_consc6";"driv_comp1";"driv_comp2";"driv_comp3";"driv_comp4";"driv_comp5";"driv_consc1";"driv_consc2";"driv_consc3";"driv_consc4";"Resp_Bic";"Resp_Car";"Resp_Driver";"Resp_Producer";"Sex";"Age";"Car_Owner";"km_year";"Education";"Occupation";"Occupation_Sonst";"Income";"Quality_1";"Quality_2";"Quality_3";"Quality_4";"Quality_5";"Quality_6";"ext_host";"ip_addr";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail"
"55";"0";"0";"31";"3884111";"-77";"754";"2";"1";"5";"3";"4";"10";"6";"2";"2";"4";"4";"4";"4";"4";"4";"4";"4";"4";"6";"4";"7";"7";"7";"7";"7";"6";"6";"6";"6";"5";"4";"6";"5";"1";"24";"1";"15000";"5";"7";"-99";"3";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"602fb82f6c7113df1884ed8c18f9fea5";"1";"0";"1571859312";"2019-10-23 19:35:12";"2019-10-23 19:47:46";"0000-00-00 00:00:00"
"56";"0";"0";"31";"3884111";"-77";"947";"1";"1";"1";"7";"5";"7";"3";"6";"3";"3";"1";"2";"6";"6";"1";"1";"1";"1";"1";"1";"7";"7";"7";"6";"6";"4";"4";"4";"4";"4";"5";"7";"6";"2";"31";"1";"2000";"5";"7";"-99";"3";"1";"2";"6";"7";"1";"6";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"dd10bef3ffd82c64865d51c57b13954d";"1";"0";"1571990417";"2019-10-25 08:00:17";"2019-10-25 08:16:04";"0000-00-00 00:00:00"
"58";"0";"0";"31";"3884111";"-77";"354";"6";"1";"2";"4";"2";"6";"4";"4";"4";"4";"4";"4";"4";"7";"4";"4";"4";"4";"4";"4";"4";"4";"4";"6";"6";"4";"4";"4";"4";"7";"7";"1";"7";"2";"36";"1";"21000";"3";"2";"-99";"0";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"fe4d5a7adce2ee71e39ff2b0e587d3ce";"1";"0";"1571991152";"2019-10-25 08:12:32";"2019-10-25 08:18:26";"0000-00-00 00:00:00"
"61";"0";"0";"31";"3884111";"-77";"892";"3";"1";"2";"4";"5";"9";"2";"2";"4";"5";"5";"5";"4";"4";"2";"6";"3";"5";"4";"3";"2";"2";"2";"2";"4";"2";"3";"5";"5";"6";"4";"6";"7";"1";"38";"1";"30000";"4";"7";"-99";"5";"7";"2";"1";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:70.0) Gecko/20100101 Firefox/70.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"e507cec07a6eb673cde39707c974536b";"1";"0";"1572069049";"2019-10-26 05:50:49";"2019-10-26 06:05:41";"0000-00-00 00:00:00"
"63";"0";"0";"31";"3884111";"-77";"1370";"1";"1";"3";"5";"3";"9";"1";"7";"1";"5";"4";"5";"5";"5";"6";"5";"4";"5";"5";"5";"6";"5";"5";"5";"5";"5";"6";"6";"5";"5";"4";"5";"4";"2";"33";"1";"5000";"4";"7";"-99";"1";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:70.0) Gecko/20100101 Firefox/70.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"3e6a6d3e7db87a4049250fb059587fe4";"1";"0";"1572069187";"2019-10-26 05:53:07";"2019-10-26 06:15:57";"0000-00-00 00:00:00"
"64";"0";"0";"31";"3884111";"-77";"744";"5";"1";"6";"7";"6";"11";"7";"6";"1";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"4";"4";"4";"4";"4";"7";"7";"7";"7";"1";"7";"1";"7";"1";"58";"1";"50000";"4";"7";"-99";"0";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"e4d22440343e9553756606582f26fb8b";"1";"0";"1572116485";"2019-10-26 19:01:25";"2019-10-26 19:13:49";"0000-00-00 00:00:00"
"65";"0";"0";"31";"3884111";"-77";"380";"2";"1";"2";"2";"1";"3";"2";"2";"2";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"4";"5";"5";"5";"5";"2";"6";"5";"6";"2";"20";"2";"100";"5";"1";"-99";"4";"6";"3";"6";"6";"1";"6";"-99";"-99";"Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-G960F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/10.1 Chrome/71.0.3578.99 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"6ba2cd56b0d624530b1b8a3c654d3e4d";"1";"0";"1572168410";"2019-10-27 09:26:50";"2019-10-27 09:33:10";"0000-00-00 00:00:00"
"70";"0";"0";"31";"3884111";"-77";"1870";"2";"1";"2";"2";"1";"4";"5";"2";"1";"6";"6";"1";"2";"2";"6";"6";"4";"4";"2";"2";"7";"4";"2";"2";"2";"7";"2";"6";"5";"2";"7";"1";"2";"2";"28";"2";"3000";"5";"7";"-99";"1";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"c18d5c021c8dcc98967764d6cbf31aaf";"1";"0";"1572379550";"2019-10-29 20:05:50";"2019-10-29 20:37:00";"0000-00-00 00:00:00"
"72";"0";"0";"31";"3884111";"-77";"955";"5";"1";"1";"1";"1";"11";"1";"2";"7";"7";"6";"4";"2";"1";"1";"2";"1";"1";"2";"1";"4";"2";"2";"2";"1";"1";"2";"1";"1";"1";"4";"7";"7";"2";"47";"1";"10000";"5";"2";"-99";"1";"1";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"9c5b4f91a20b5cf035e94ebdb4ae3a3b";"1";"0";"1572379912";"2019-10-29 20:11:52";"2019-10-29 20:27:47";"0000-00-00 00:00:00"
"73";"0";"0";"31";"3884111";"-77";"1792";"1";"1";"7";"7";"1";"6";"1";"7";"1";"1";"7";"7";"7";"7";"1";"7";"1";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"1";"1";"7";"7";"1";"76";"1";"10000";"5";"7";"-99";"5";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"8deee76863f1f2edd1e8959f8ce7c2bf";"1";"0";"1572380904";"2019-10-29 20:28:24";"2019-10-29 20:58:16";"0000-00-00 00:00:00"
"80";"0";"0";"31";"3884111";"-77";"645";"3";"1";"4";"5";"5";"9";"1";"3";"6";"5";"6";"6";"7";"4";"4";"6";"4";"3";"2";"3";"2";"6";"5";"6";"4";"2";"2";"3";"4";"1";"1";"7";"5";"2";"27";"2";"500";"5";"7";"-99";"1";"7";"2";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"0";"0";"-77";"-77";"47b3cd01ed825e032a71d73f204d9fc3";"1";"0";"1572509407";"2019-10-31 08:10:07";"2019-10-31 08:20:52";"0000-00-00 00:00:00"
"81";"0";"0";"31";"3884111";"-77";"255";"1";"1";"2";"7";"5";"8";"1";"7";"1";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"6";"1";"61";"1";"20000";"5";"7";"-99";"5";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36";"https://deref-1und1.de/mail/client/z1-jzan9yGI/dereferrer/?redirectUrl=https%3A%2F%2Fww2.unipark.de%2Fuc%2Fcarfac2%2F";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"0";"0";"-77";"-77";"c963795a0994b9b3b05b4af4d5748c54";"1";"0";"1572544073";"2019-10-31 17:47:53";"2019-10-31 17:52:08";"0000-00-00 00:00:00"
"83";"0";"0";"31";"3884111";"-77";"931";"4";"1";"3";"1";"2";"9";"1";"5";"1";"3";"2";"5";"4";"5";"2";"6";"6";"6";"4";"4";"4";"4";"5";"4";"5";"6";"6";"6";"5";"1";"5";"3";"7";"1";"82";"1";"5000";"2";"2";"-99";"2";"6";"1";"7";"5";"1";"7";"-99";"-99";"Mozilla/5.0 (X11; CrOS x86_64 12371.75.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.105 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"0";"0";"-77";"-77";"5e3a2b0983535dd42d97f3f12a4664d2";"1";"0";"1572547694";"2019-10-31 18:48:14";"2019-10-31 19:03:45";"0000-00-00 00:00:00"
"84";"0";"0";"31";"3884111";"-77";"551";"5";"1";"4";"3";"4";"10";"6";"3";"1";"6";"4";"5";"6";"6";"4";"6";"6";"6";"6";"6";"4";"4";"4";"4";"4";"6";"6";"6";"6";"1";"4";"7";"7";"1";"50";"1";"15000";"4";"5";"-99";"2";"6";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; rv:70.0) Gecko/20100101 Firefox/70.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"550b68b6f9e147486fb01be1560998ad";"1";"0";"1572581529";"2019-11-01 04:12:09";"2019-11-01 04:21:20";"0000-00-00 00:00:00"
"87";"0";"0";"31";"3884111";"-77";"1143";"6";"1";"2";"4";"1";"1";"1";"7";"1";"4";"1";"3";"3";"3";"5";"5";"5";"5";"4";"5";"2";"2";"2";"2";"2";"6";"6";"6";"6";"1";"1";"7";"7";"2";"25";"1";"10000";"3";"7";"-99";"1";"7";"2";"7";"7";"1";"6";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884108,3884108,3884109,3884109,3884109,3884110,3884111";"0";"1";"0";"-77";"-77";"fcfbbe56b3b2f62fdbe55a99ab6d659b";"1";"0";"1572608905";"2019-11-01 11:48:25";"2019-11-01 12:07:28";"0000-00-00 00:00:00"
"88";"0";"0";"31";"3884111";"-77";"988";"5";"1";"2";"2";"2";"7";"1";"2";"5";"4";"4";"4";"4";"3";"3";"3";"4";"4";"3";"2";"4";"4";"4";"5";"6";"5";"5";"4";"5";"1";"7";"5";"7";"1";"84";"1";"10000";"5";"6";"-99";"3";"7";"6";"6";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:70.0) Gecko/20100101 Firefox/70.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"0";"0";"-77";"-77";"9768460bba9f20e495a0428398e9b820";"1";"0";"1572610031";"2019-11-01 12:07:11";"2019-11-01 12:23:39";"0000-00-00 00:00:00"
"91";"0";"0";"31";"3884111";"-77";"976";"4";"1";"1";"1";"1";"11";"5";"6";"2";"7";"7";"7";"7";"7";"1";"1";"1";"1";"1";"1";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"1";"1";"7";"1";"49";"2";"15000";"5";"7";"-99";"5";"5";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.70 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"1";"1";"0";"-77";"-77";"aec071ad475fa6abcca1365828122cc4";"1";"0";"1572625710";"2019-11-01 16:28:30";"2019-11-01 16:44:46";"0000-00-00 00:00:00"
"92";"0";"0";"31";"3884111";"-77";"1323";"1";"1";"4";"4";"4";"5";"1";"5";"3";"5";"5";"5";"4";"4";"5";"5";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"4";"5";"4";"2";"40";"2";"-99";"4";"7";"-99";"1";"7";"1";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884110,3884110,3884111";"1";"0";"0";"-77";"-77";"ca3fc22c216714ede6bf0df51bce6567";"1";"0";"1572690330";"2019-11-02 10:25:30";"2019-11-02 10:47:33";"0000-00-00 00:00:00"
"96";"0";"0";"31";"3884111";"-77";"664";"2";"1";"4";"4";"4";"9";"5";"3";"1";"5";"5";"5";"5";"5";"4";"4";"5";"4";"4";"4";"6";"5";"5";"5";"5";"3";"3";"3";"3";"1";"7";"7";"7";"2";"25";"2";"0";"5";"7";"-99";"3";"5";"2";"7";"7";"1";"7";"-99";"-99";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.1 Safari/605.1.15";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"3884104,3884105,3884106,3884107,3884108,3884109,3884110,3884111";"0";"0";"0";"-77";"-77";"c4524b6e28a8dca4fdf436044b7de535";"1";"0";"1572703743";"2019-11-02 14:09:03";"2019-11-02 14:20:07";"0000-00-00 00:00:00"
